epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,114.995,0.25879,1.01289,0.86836,0.85728,0.7527,0.8428,0.80914,0.33082,0.90573,0.96062,0.00010484,0.00010484,0.00010484
85,116.398,0.23436,0.99666,0.84469,0.94025,0.75356,0.84533,0.81168,0.32739,0.88135,0.95881,9.90192e-05,9.90192e-05,9.90192e-05
86,117.859,0.25178,0.94672,0.82734,0.92412,0.75437,0.85288,0.81883,0.32716,0.88744,0.96472,9.3198e-05,9.3198e-05,9.3198e-05
87,119.293,0.2363,0.8533,0.81376,0.89247,0.75406,0.85591,0.82144,0.32917,0.8989,0.97084,8.73768e-05,8.73768e-05,8.73768e-05
88,120.701,0.23364,0.97753,0.83612,0.87832,0.75409,0.81055,0.77626,0.33286,0.93492,0.97995,8.15556e-05,8.15556e-05,8.15556e-05
89,122.027,0.23297,0.98476,0.86001,0.87991,0.75414,0.78809,0.75505,0.33607,0.95843,0.98277,7.57344e-05,7.57344e-05,7.57344e-05
90,123.405,0.2361,0.91505,0.8548,0.88089,0.75396,0.79066,0.75846,0.32344,0.96439,0.97638,6.99132e-05,6.99132e-05,6.99132e-05
91,126.211,0.17184,1.11149,0.7936,0.88062,0.75353,0.79066,0.75836,0.33004,0.98399,0.98484,6.4092e-05,6.4092e-05,6.4092e-05
92,127.628,0.17478,1.11774,0.79937,0.8536,0.75418,0.79758,0.76047,0.32961,1.00356,0.98888,5.82708e-05,5.82708e-05,5.82708e-05
93,128.934,0.18099,1.10642,0.83265,0.83461,0.75396,0.81265,0.77618,0.34448,1.03808,0.99625,5.24496e-05,5.24496e-05,5.24496e-05
94,130.269,0.194,1.13842,0.79063,0.8329,0.74736,0.81265,0.77618,0.35165,1.07054,0.9983,4.66284e-05,4.66284e-05,4.66284e-05
95,131.648,0.16552,1.16945,0.79465,0.85606,0.74116,0.81361,0.77054,0.35624,1.07419,1.00018,4.08072e-05,4.08072e-05,4.08072e-05
96,133.081,0.17917,1.14444,0.81929,0.87316,0.73992,0.80928,0.76621,0.35974,1.0812,0.99448,3.4986e-05,3.4986e-05,3.4986e-05
97,134.439,0.16981,1.19893,0.76629,0.88703,0.7436,0.82174,0.7648,0.35652,1.06365,0.99168,2.91648e-05,2.91648e-05,2.91648e-05
98,135.765,0.16162,1.16109,0.75184,0.8979,0.74177,0.82174,0.7648,0.35424,1.04205,0.98959,2.33436e-05,2.33436e-05,2.33436e-05
99,137.191,0.16072,1.18542,0.80593,0.90171,0.74391,0.8224,0.76518,0.35256,1.01573,0.98715,1.75224e-05,1.75224e-05,1.75224e-05
100,138.583,0.15974,1.14404,0.79633,0.90718,0.74567,0.8224,0.76693,0.34426,0.96477,0.98032,1.17012e-05,1.17012e-05,1.17012e-05
